,,,,,,Notifiable Offence List  2018-2019,,,,,,,
,,,,,,,,,,,,,
"This list can be filtered to show indictable, triable-either-way and summary offences.",,,,,,,,,,,,,
Click on the drop down arrow above the column marked ‘mode’ and select either “I” (indictable) “E” (triable-either-way) or “S” (summary).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Home Office code,Mode,Max Sentence,Victim or State Based,Class,Sub class,Offence category,Offence,Act,Year added/amended/deleted,Commencement date,Cessation date,Note,
7/11,E,fine,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,"Using unsafe lighter, barge etc., likely to endanger life",Merchant Shipping Act 1995 Sec 99,,,,,
7/12,E,2,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,"Disobedience, neglect of duty, impeding navigation of ship",Merchant Shipping Act 1995 Sec 59,,,,,
7/13,E,2,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,"Master, Pilot or Seamans ability to carry out duties impaired because of drink or drugs",Railways and Transport Safety Act 2003 Secs78-82,,,,,
7/14,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Destroying ships or fixed platforms endangering their safety,Aviation and Maritime Security Act 1990 Sec 11,,,,,
7/15,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Other acts endangering or likely to endanger safe navigation,Aviation and Maritime Security Act 1990 Sec 12,,,,,
7/16,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,"Inducing commission of offence relating to safety of ship, cargo or sea platform outside UK ",Aviation and Maritime Security Act 1990 Sec 14(4),,,,,
7/17,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,"Assisting commission of offence relating to safety of ship, cargo or sea platform outside UK ",Aviation and Maritime Security Act 1990 Sec 14(4),,,,,
8/1,E,5,V,Violence Against The Person,Violence with injury ,8N Assault with injury ,Malicious Wounding:- wounding or inflicting grievous bodily harm,Offences against the Person Act 1861 Sec 20,,,,Offence included in new 8S Category,
8/1,E,5,V,Violence Against The Person,Violence with injury ,8S Assault with injury on a constable,Malicious Wounding:- wounding or inflicting grievous bodily harm,Offences against the Person Act 1861 Sec 20,01/04/2017,,,,
8/2,I,5,V,Violence Against The Person,Violence with injury ,8N Assault with injury,Administering poison with intent to injure or annoy,Offences against the Person Act 1861 Sec 24,,,,,
8/3,I,5,S,Possession of weapons,,10A Possession of Firearms with intent,Setting spring guns etc to injure trespassers,Offences against the Person Act 1861 Sec 31,,,,,
8/4,I,2,V,Violence Against The Person,Violence with injury ,8N Assault with injury,Drivers injuring persons by furious driving,Offences against the Person Act 1861 Sec 35,,,,,
8/5,I,7,V,Violence Against The Person,Violence with injury ,8N Assault with injury,Assault on person preserving wreck,Offences against the Person Act 1861 Sec 37,,,,,
